cars,wt
Mazda RX4,4.582575695
Mazda RX4 Wag,4.582575695
Datsun 710,4.774934555
Hornet 4 Drive,4.626013402
Hornet Sportabout,4.324349662
Valiant,4.254409477
Duster 360,3.78153408
Merc 240D,4.939635614
Merc 230,4.774934555
Merc 280,4.38178046
Merc 280C,4.219004622
Merc 450SE,4.049691346
Merc 450SL,4.159326869
Merc 450SLC,3.898717738
Cadillac Fleetwood,3.224903099
Lincoln Continental,3.224903099
Chrysler Imperial,3.834057903
Fiat 128,5.692099788
Honda Civic,5.513619501
Toyota Corolla,5.822370651
Toyota Corona,4.636809248
Dodge Challenger,3.937003937
AMC Javelin,3.898717738
Camaro Z28,3.646916506
Pontiac Firebird,4.38178046
Fiat X1-9,5.224940191
Porsche 914-2,5.099019514
Lotus Europa,5.513619501
Ford Pantera L,3.974921383
Ferrari Dino,4.438468204
Maserati Bora,3.872983346
Volvo 142E,4.626013402
